state,Enrolment,Biometric,Demographic,Total
100000,218.0,0.0,2.0,220.0
Andaman & Nicobar Islands,114.0,2384.0,1059.0,3557.0
Andaman and Nicobar Islands,397.0,18314.0,6187.0,24898.0
Andhra Pradesh,127681.0,3714592.0,2295505.0,6137778.0
Arunachal Pradesh,4344.0,72394.0,36443.0,113181.0
Assam,230197.0,982722.0,1012578.0,2225497.0
BALANAGAR,0.0,0.0,2.0,2.0
Bihar,609585.0,4897587.0,4814350.0,10321522.0
Chandigarh,2723.0,74482.0,83361.0,160566.0
Chhatisgarh,0.0,5.0,4.0,9.0
Chhattisgarh,103219.0,2648729.0,2005434.0,4757382.0
Dadra & Nagar Haveli,25.0,553.0,235.0,813.0
Dadra and Nagar Haveli,744.0,27235.0,6033.0,34012.0
Dadra and Nagar Haveli and Daman and Diu,293.0,9295.0,5292.0,14880.0
Daman & Diu,21.0,2185.0,644.0,2850.0
Darbhanga,0.0,0.0,2.0,2.0
Delhi,94529.0,1304362.0,1438934.0,2837825.0
Goa,2333.0,68397.0,35120.0,105850.0
Gujarat,280549.0,3196514.0,1824327.0,5301390.0
Haryana,98252.0,1635454.0,1166140.0,2899846.0
Himachal Pradesh,17486.0,396234.0,149214.0,562934.0
Jaipur,0.0,0.0,2.0,2.0
Jammu & Kashmir,155.0,429.0,426.0,1010.0
Jammu And Kashmir,950.0,0.0,0.0,950.0
Jammu and Kashmir,47991.0,791218.0,406776.0,1245985.0
Jharkhand,157539.0,2026297.0,1401189.0,3585025.0
Karnataka,223235.0,2635954.0,1695285.0,4554474.0
Kerala,75002.0,1609730.0,744952.0,2429684.0
Ladakh,617.0,5763.0,5735.0,12115.0
Lakshadweep,203.0,4820.0,1176.0,6199.0
Madanapalle,0.0,0.0,2.0,2.0
Madhya Pradesh,493970.0,5923771.0,2912938.0,9330679.0
Maharashtra,369139.0,9226139.0,5054602.0,14649880.0
Manipur,13456.0,282587.0,301549.0,597592.0
Meghalaya,109771.0,87626.0,87378.0,284775.0
Mizoram,5926.0,120329.0,41906.0,168161.0
Nagaland,15587.0,109593.0,36791.0,161971.0
Nagpur,0.0,0.0,1.0,1.0
ODISHA,1.0,34.0,50.0,85.0
Odisha,122986.0,2464910.0,1111995.0,3699891.0
Puducherry,3017.0,69908.0,32763.0,105688.0
Punjab,76746.0,1739671.0,881895.0,2698312.0
Puttenahalli,0.0,0.0,1.0,1.0
Raja Annamalai Puram,0.0,0.0,1.0,1.0
Rajasthan,348458.0,3994955.0,2817615.0,7161028.0
Sikkim,2207.0,22820.0,20340.0,45367.0
Tamil Nadu,220789.0,4698117.0,2212228.0,7131134.0
Tamilnadu,0.0,1.0,0.0,1.0
Telangana,131574.0,1737654.0,1629908.0,3499136.0
The Dadra And Nagar Haveli And Daman And Diu,716.0,0.0,0.0,716.0
Tripura,11285.0,292155.0,138013.0,441453.0
Uttar Pradesh,1018629.0,9577735.0,8542328.0,19138692.0
Uttarakhand,37698.0,764763.0,463637.0,1266098.0
Uttaranchal,0.0,2.0,5.0,7.0
WEST BENGAL,4.0,37.0,71.0,112.0
WESTBENGAL,1.0,12.0,57.0,70.0
West  Bengal,15.0,28.0,107.0,150.0
West Bangal,10.0,54.0,157.0,221.0
West Bengal,375297.0,2524448.0,3872172.0,6771917.0
West Bengli,0.0,0.0,3.0,3.0
West bengal,7.0,20.0,60.0,87.0
Westbengal,6.0,19.0,95.0,120.0
andhra pradesh,5.0,41.0,77.0,123.0
odisha,0.0,16.0,20.0,36.0
west Bengal,0.0,1.0,15.0,16.0
